Running Busy Beaver 5 through Zeroth Field...

---- Execution Report ----
  Position -11507: 0
  Position -11506: 1
  Position -11505: 0
  Position -11504: 0
  Position -11503: 1
  Position -11502: 0
  Position -11501: 0
  Position -11500: 1
  Position -11499: 0
  Position -11498: 0
  Position -11497: 1
  Position -11496: 0
  Position -11495: 0
  Position -11494: 1
  Position -11493: 0
  Position -11492: 0
  Position -11491: 1
  Position -11490: 0
  Position -11489: 0
  Position -11488: 1
  Position -11487: 0
  Position -11486: 0
  Position -11485: 1
  Position -11484: 0
  Position -11483: 0
  Position -11482: 1
  Position -11481: 0
  Position -11480: 0
  Position -11479: 1
  Position -11478: 0
  Position -11477: 0
  Position -11476: 1
  Position -11475: 0
  Position -11474: 0
  Position -11473: 1
  Position -11472: 0
  Position -11471: 0
  Position -11470: 1
  Position -11469: 0
  Position -11468: 0
  Position -11467: 1
  Position -11466: 0
  Position -11465: 0
  Position -11464: 1
  Position -11463: 0
  Position -11462: 0
  Position -11461: 1
  Position -11460: 0
  Position -11459: 0
  Position -11458: 1
  Position -11457: 0
  Position -11456: 0
  Position -11455: 1
  Position -11454: 0
  Position -11453: 0
  Position -11452: 1
  Position -11451: 0
  Position -11450: 0
  Position -11449: 1
  Position -11448: 0
  Position -11447: 0
  Position -11446: 1
  Position -11445: 0
  Position -11444: 0
  Position -11443: 1
  Position -11442: 0
  Position -11441: 0
  Position -11440: 1
  Position -11439: 0
  Position -11438: 0
  Position -11437: 1
  Position -11436: 0
  Position -11435: 0
  Position -11434: 1
  Position -11433: 0
  Position -11432: 0
  Position -11431: 1
  Position -11430: 0
  Position -11429: 0
  Position -11428: 1
  Position -11427: 0
  Position -11426: 0
  Position -11425: 1
  Position -11424: 0
  Position -11423: 0
  Position -11422: 1
  Position -11421: 0
  Position -11420: 0
  Position -11419: 1
  Position -11418: 0
  Position -11417: 0
  Position -11416: 1
  Position -11415: 0
  Position -11414: 0
  Position -11413: 1
  Position -11412: 0
  Position -11411: 0
  Position -11410: 1
  Position -11409: 0
  Position -11408: 0
  Position -11407: 1
  Position -11406: 0
  Position -11405: 0
  Position -11404: 1
  Position -11403: 0
  Position -11402: 0
  Position -11401: 1
  Position -11400: 0
  Position -11399: 0
  Position -11398: 1
  Position -11397: 0
  Position -11396: 0
  Position -11395: 1
  Position -11394: 0
  Position -11393: 0
  Position -11392: 1
  Position -11391: 0
  Position -11390: 0
  Position -11389: 1
  Position -11388: 0
  Position -11387: 0
  Position -11386: 1
  Position -11385: 0
  Position -11384: 0
  Position -11383: 1
  Position -11382: 0
  Position -11381: 0
  Position -11380: 1
  Position -11379: 0
  Position -11378: 0
  Position -11377: 1
  Position -11376: 0
  Position -11375: 0
  Position -11374: 1
  Position -11373: 0
  Position -11372: 0
  Position -11371: 1
  Position -11370: 0
  Position -11369: 0
  Position -11368: 1
  Position -11367: 0
  Position -11366: 0
  Position -11365: 1
  Position -11364: 0
  Position -11363: 0
  Position -11362: 1
  Position -11361: 0
  Position -11360: 0
  Position -11359: 1
  Position -11358: 0
  Position -11357: 0
  Position -11356: 1
  Position -11355: 0
  Position -11354: 0
  Position -11353: 1
  Position -11352: 0
  Position -11351: 0
  Position -11350: 1
  Position -11349: 0
  Position -11348: 0
  Position -11347: 1
  Position -11346: 0
  Position -11345: 0
  Position -11344: 1
  Position -11343: 0
  Position -11342: 0
  Position -11341: 1
  Position -11340: 0
  Position -11339: 0
  Position -11338: 1
  Position -11337: 0
  Position -11336: 0
  Position -11335: 1
  Position -11334: 0
  Position -11333: 0
  Position -11332: 1
  Position -11331: 0
  Position -11330: 0
  Position -11329: 1
  Position -11328: 0
  Position -11327: 0
  Position -11326: 1
  Position -11325: 0
  Position -11324: 0
  Position -11323: 1
  Position -11322: 0
  Position -11321: 0
  Position -11320: 1
  Position -11319: 0
  Position -11318: 0
  Position -11317: 1
  Position -11316: 0
  Position -11315: 0
  Position -11314: 1
  Position -11313: 0
  Position -11312: 0
  Position -11311: 1
  Position -11310: 0
  Position -11309: 0
  Position -11308: 1
  Position -11307: 0
  Position -11306: 0
  Position -11305: 1
  Position -11304: 0
  Position -11303: 0
  Position -11302: 1
  Position -11301: 0
  Position -11300: 0
  Position -11299: 1
  Position -11298: 0
  Position -11297: 0
  Position -11296: 1
  Position -11295: 0
  Position -11294: 0
  Position -11293: 1
  Position -11292: 0
  Position -11291: 0
  Position -11290: 1
  Position -11289: 0
  Position -11288: 0
  Position -11287: 1
  Position -11286: 0
  Position -11285: 0
  Position -11284: 1
  Position -11283: 0
  Position -11282: 0
  Position -11281: 1
  Position -11280: 0
  Position -11279: 0
  Position -11278: 1
  Position -11277: 0
  Position -11276: 0
  Position -11275: 1
  Position -11274: 0
  Position -11273: 0
  Position -11272: 1
  Position -11271: 0
  Position -11270: 0
  Position -11269: 1
  Position -11268: 0
  Position -11267: 0
  Position -11266: 1
  Position -11265: 0
  Position -11264: 0
  Position -11263: 1
  Position -11262: 0
  Position -11261: 0
  Position -11260: 1
  Position -11259: 0
  Position -11258: 0
  Position -11257: 1
  Position -11256: 0
  Position -11255: 0
  Position -11254: 1
  Position -11253: 0
  Position -11252: 0
  Position -11251: 1
  Position -11250: 0
  Position -11249: 0
  Position -11248: 1
  Position -11247: 0
  Position -11246: 0
  Position -11245: 1
  Position -11244: 0
  Position -11243: 0
  Position -11242: 1
  Position -11241: 0
  Position -11240: 0
  Position -11239: 1
  Position -11238: 0
  Position -11237: 0
  Position -11236: 1
  Position -11235: 0
  Position -11234: 0
  Position -11233: 1
  Position -11232: 0
  Position -11231: 0
  Position -11230: 1
  Position -11229: 0
  Position -11228: 0
  Position -11227: 1
  Position -11226: 0
  Position -11225: 0
  Position -11224: 1
  Position -11223: 0
  Position -11222: 0
  Position -11221: 1
  Position -11220: 0
  Position -11219: 0
  Position -11218: 1
  Position -11217: 0
  Position -11216: 0
  Position -11215: 1
  Position -11214: 0
  Position -11213: 0
  Position -11212: 1
  Position -11211: 0
  Position -11210: 0
  Position -11209: 1
  Position -11208: 0
  Position -11207: 0
  Position -11206: 1
  Position -11205: 0
  Position -11204: 0
  Position -11203: 1
  Position -11202: 0
  Position -11201: 0
  Position -11200: 1
  Position -11199: 0
  Position -11198: 0
  Position -11197: 1
  Position -11196: 0
  Position -11195: 0
  Position -11194: 1
  Position -11193: 0
  Position -11192: 0
  Position -11191: 1
  Position -11190: 0
  Position -11189: 0
  Position -11188: 1
  Position -11187: 0
  Position -11186: 0
  Position -11185: 1
  Position -11184: 0
  Position -11183: 0
  Position -11182: 1
  Position -11181: 0
  Position -11180: 0
  Position -11179: 1
  Position -11178: 0
  Position -11177: 0
  Position -11176: 1
  Position -11175: 0
  Position -11174: 0
  Position -11173: 1
  Position -11172: 0
  Position -11171: 0
  Position -11170: 1
  Position -11169: 0
  Position -11168: 0
  Position -11167: 1
  Position -11166: 0
  Position -11165: 0
  Position -11164: 1
  Position -11163: 0
  Position -11162: 0
  Position -11161: 1
  Position -11160: 0
  Position -11159: 0
  Position -11158: 1
  Position -11157: 0
  Position -11156: 0
  Position -11155: 1
  Position -11154: 0
  Position -11153: 0
  Position -11152: 1
  Position -11151: 0
  Position -11150: 0
  Position -11149: 1
  Position -11148: 0
  Position -11147: 0
  Position -11146: 1
  Position -11145: 0
  Position -11144: 0
  Position -11143: 1
  Position -11142: 0
  Position -11141: 0
  Position -11140: 1
  Position -11139: 0
  Position -11138: 0
  Position -11137: 1
  Position -11136: 0
  Position -11135: 0
  Position -11134: 1
  Position -11133: 0
  Position -11132: 0
  Position -11131: 1
  Position -11130: 0
  Position -11129: 0
  Position -11128: 1
  Position -11127: 0
  Position -11126: 0
  Position -11125: 1
  Position -11124: 0
  Position -11123: 0
  Position -11122: 1
  Position -11121: 0
  Position -11120: 0
  Position -11119: 1
  Position -11118: 0
  Position -11117: 0
  Position -11116: 1
  Position -11115: 0
  Position -11114: 0
  Position -11113: 1
  Position -11112: 0
  Position -11111: 0
  Position -11110: 1
  Position -11109: 0
  Position -11108: 0
  Position -11107: 1
  Position -11106: 0
  Position -11105: 0
  Position -11104: 1
  Position -11103: 0
  Position -11102: 0
  Position -11101: 1
  Position -11100: 0
  Position -11099: 0
  Position -11098: 1
  Position -11097: 0
  Position -11096: 0
  Position -11095: 1
  Position -11094: 0
  Position -11093: 0
  Position -11092: 1
  Position -11091: 0
  Position -11090: 0
  Position -11089: 1
  Position -11088: 0
  Position -11087: 0
  Position -11086: 1
  Position -11085: 0
  Position -11084: 0
  Position -11083: 1
  Position -11082: 0
  Position -11081: 0
  Position -11080: 1
  Position -11079: 0
  Position -11078: 0
  Position -11077: 1
  Position -11076: 0
  Position -11075: 0
  Position -11074: 1
  Position -11073: 0
  Position -11072: 0
  Position -11071: 1
  Position -11070: 0
  Position -11069: 0
  Position -11068: 1
  Position -11067: 0
  Position -11066: 0
  Position -11065: 1
  Position -11064: 0
  Position -11063: 0
  Position -11062: 1
  Position -11061: 0
  Position -11060: 0
  Position -11059: 1
  Position -11058: 0
  Position -11057: 0
  Position -11056: 1
  Position -11055: 0
  Position -11054: 0
  Position -11053: 1
  Position -11052: 0
  Position -11051: 0
  Position -11050: 1
  Position -11049: 0
  Position -11048: 0
  Position -11047: 1
  Position -11046: 0
  Position -11045: 0
  Position -11044: 1
  Position -11043: 0
  Position -11042: 0
  Position -11041: 1
  Position -11040: 0
  Position -11039: 0
  Position -11038: 1
  Position -11037: 0
  Position -11036: 0
  Position -11035: 1
  Position -11034: 0
  Position -11033: 0
  Position -11032: 1
  Position -11031: 0
  Position -11030: 0
  Position -11029: 1
  Position -11028: 0
  Position -11027: 0
  Position -11026: 1
  Position -11025: 0
  Position -11024: 0
  Position -11023: 1
  Position -11022: 0
  Position -11021: 0
  Position -11020: 1
  Position -11019: 0
  Position -11018: 0
  Position -11017: 1
  Position -11016: 0
  Position -11015: 0
  Position -11014: 1
  Position -11013: 0
  Position -11012: 0
  Position -11011: 1
  Position -11010: 0
  Position -11009: 0
  Position -11008: 1
  Position -11007: 0
  Position -11006: 0
  Position -11005: 1
  Position -11004: 0
  Position -11003: 0
  Position -11002: 1
  Position -11001: 0
  Position -11000: 0
  Position -10999: 1
  Position -10998: 0
  Position -10997: 0
  Position -10996: 1
  Position -10995: 0
  Position -10994: 0
  Position -10993: 1
  Position -10992: 0
  Position -10991: 0
  Position -10990: 1
  Position -10989: 0
  Position -10988: 0
  Position -10987: 1
  Position -10986: 0
  Position -10985: 0
  Position -10984: 1
  Position -10983: 0
  Position -10982: 0
  Position -10981: 1
  Position -10980: 0
  Position -10979: 0
  Position -10978: 1
  Position -10977: 0
  Position -10976: 0
  Position -10975: 1
  Position -10974: 0
  Position -10973: 0
  Position -10972: 1
  Position -10971: 0
  Position -10970: 0
